Date : 2025-03-30 15:48:02
Directory : d:\Projects\Advenro\Advenro
Total : 466 files,  75866 codes, 10487 comments, 10345 blanks, all 96698 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\Projects\Advenro\Advenro\deployment\src\services\mailerService.js                    | JavaScript   |        178 |          5 |         20 |        203 |
| d:\Projects\Advenro\Advenro\deployment\src\services\migrationService.js                 | JavaScript   |        207 |          3 |         31 |        241 |
| d:\Projects\Advenro\Advenro\deployment\src\services\paymentService.js                   | JavaScript   |        186 |          5 |         35 |        226 |
| d:\Projects\Advenro\Advenro\deployment\src\services\websocketService.js                 | JavaScript   |        129 |         10 |         21 |        160 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\api-connection.test.js                 | JavaScript   |         69 |          2 |         12 |         83 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\api-docs.test.js                       | JavaScript   |        156 |         10 |         26 |        192 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\bookingCom.test.js                     | JavaScript   |        187 |          4 |         27 |        218 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\db-connection.test.js                  | JavaScript   |         15 |          1 |          1 |         17 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\helpers.js                             | JavaScript   |         68 |         15 |         11 |         94 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\index.test.js                          | JavaScript   |         14 |          4 |          4 |         22 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\integration\auth.test.js               | JavaScript   |         99 |          2 |         20 |        121 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\integration\booking.test.js            | JavaScript   |        357 |         23 |         74 |        454 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\integration\hotel.test.js              | JavaScript   |        315 |          8 |         53 |        376 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\performance\auth.performance.js        | JavaScript   |         54 |          3 |         14 |         71 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\review.test.js                         | JavaScript   |        308 |         26 |         64 |        398 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\seed-test-data.js                      | JavaScript   |        153 |          6 |          9 |        168 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\setup.js                               | JavaScript   |        110 |         15 |         16 |        141 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\setupIntegration.js                    | JavaScript   |         18 |          0 |          4 |         22 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\test-helper.js                         | JavaScript   |        243 |         30 |         42 |        315 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\unit\auth.controller.test.js           | JavaScript   |        151 |         20 |         28 |        199 |
| d:\Projects\Advenro\Advenro\deployment\src\tests\user.test.js                           | JavaScript   |        157 |          0 |         28 |        185 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\appError.js                            | JavaScript   |         10 |          0 |          3 |         13 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\catchAsync.js                          | JavaScript   |          5 |          0 |          0 |          5 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\email.js                               | JavaScript   |         21 |          3 |          4 |         28 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\error.js                               | JavaScript   |         23 |          3 |          7 |         33 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\errorResponse.js                       | JavaScript   |         10 |          0 |          2 |         12 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\notifications.js                       | JavaScript   |        125 |         13 |         14 |        152 |
| d:\Projects\Advenro\Advenro\deployment\src\utils\twoFactorAuth.js                       | JavaScript   |         29 |          3 |          3 |         35 |
| d:\Projects\Advenro\Advenro\docker-compose.yml                                          | YAML         |         22 |          2 |          3 |         27 |
| d:\Projects\Advenro\Advenro\docs\CONTRIBUTING.md                                        | Markdown     |        149 |          0 |         38 |        187 |
| d:\Projects\Advenro\Advenro\docs\DEPLOYMENT.md                                          | Markdown     |        368 |          0 |         98 |        466 |
| d:\Projects\Advenro\Advenro\docs\TESTING.md                                             | Markdown     |        222 |          0 |         75 |        297 |
| d:\Projects\Advenro\Advenro\docs\api.md                                                 | Markdown     |        411 |          0 |         60 |        471 |
| d:\Projects\Advenro\Advenro\docs\components.md                                          | Markdown     |        272 |          0 |         70 |        342 |
| d:\Projects\Advenro\Advenro\ecosystem.config.js                                         | JavaScript   |         17 |          0 |          0 |         17 |
| d:\Projects\Advenro\Advenro\list-tests.js                                               | JavaScript   |         58 |          7 |         11 |         76 |
| d:\Projects\Advenro\Advenro\mock-data\hotel-123456.json                                 | JSON         |         69 |          0 |          0 |         69 |
| d:\Projects\Advenro\Advenro\mock-data\hotel-789012.json                                 | JSON         |         69 |          0 |          0 |         69 |
| d:\Projects\Advenro\Advenro\mock-data\hotel-search.json                                 | JSON         |         64 |          0 |          0 |         64 |
| d:\Projects\Advenro\Advenro\mock-data\locations.json                                    | JSON         |         23 |          0 |          0 |         23 |
| d:\Projects\Advenro\Advenro\mock-server.js                                              | JavaScript   |        284 |         28 |         24 |        336 |
| d:\Projects\Advenro\Advenro\mock-test.js                                                | JavaScript   |         82 |          3 |         20 |        105 |
| d:\Projects\Advenro\Advenro\mongo-test.js                                               | JavaScript   |         95 |          9 |         12 |        116 |
| d:\Projects\Advenro\Advenro\package.json                                                | JSON         |         62 |          0 |          1 |         63 |
| d:\Projects\Advenro\Advenro\postman_collection.json                                     | JSON         |        378 |          0 |          0 |        378 |
| d:\Projects\Advenro\Advenro\postman_environments.json                                   | JSON         |         79 |          0 |          0 |         79 |
| d:\Projects\Advenro\Advenro\prepare-deployment.ps1                                      | PowerShell   |         49 |         16 |         14 |         79 |
| d:\Projects\Advenro\Advenro\prepare-deployment.sh                                       | Shell Script |         45 |         18 |         16 |         79 |
| d:\Projects\Advenro\Advenro\proxy-server.js                                             | JavaScript   |        212 |         23 |         23 |        258 |
| d:\Projects\Advenro\Advenro\scripts\generate-test.js                                    | JavaScript   |         67 |         24 |         14 |        105 |
| d:\Projects\Advenro\Advenro\scripts\run-integration-tests.js                            | JavaScript   |         65 |         15 |         20 |        100 |
| d:\Projects\Advenro\Advenro\scripts\run-tests.bat                                       | Batch        |          5 |          0 |          0 |          5 |
| d:\Projects\Advenro\Advenro\src\App.js                                                  | JavaScript   |         50 |          2 |          4 |         56 |
| d:\Projects\Advenro\Advenro\src\components\admin\AdminDashboard.js                      | JavaScript   |         71 |          0 |          6 |         77 |
| d:\Projects\Advenro\Advenro\src\components\auth\Login.js                                | JavaScript   |         88 |          0 |          7 |         95 |
| d:\Projects\Advenro\Advenro\src\components\auth\PrivateRoute.js                         | JavaScript   |         14 |          1 |          5 |         20 |
| d:\Projects\Advenro\Advenro\src\components\auth\Register.js                             | JavaScript   |        125 |          0 |          8 |        133 |
| d:\Projects\Advenro\Advenro\src\components\common\LoadingSpinner.css                    | CSS          |         60 |          3 |         10 |         73 |
| d:\Projects\Advenro\Advenro\src\components\common\LoadingSpinner.js                     | JavaScript   |         66 |         24 |          4 |         94 |
| d:\Projects\Advenro\Advenro\src\components\common\OfflineSupport.js                     | JavaScript   |         97 |          1 |         12 |        110 |
| d:\Projects\Advenro\Advenro\src\components\common\Toast.css                             | CSS          |          0 |          0 |          1 |          1 |
